cluster	question	
11	via vm calling see vacation time sick time accrue people work overtime massachusetts company vermont location	
4	question use intellectual property employment ends please give call	
5	question client business funeral home situation needs clarification regarding discrimination rights employer female employee trying get pregnant wanting work prep room relates embalming feels chemicals could hinder ability conceive job description outlines embalming one duties among things concern revolves around accommodations know could trying years never conceive end needing work prep room able direct protected legal action	
4	several questions following topics	
11	recently added physician payroll hired compensation rate paid per day day working short time period two weeks decided classify since performing main operations business question even though working weeks classify salary exempt employee two weeks main reason need working full hour day without set lunch time breaks	
2	employee hired several weeks ago never provided documents needed verification week told us could provide needed documents proceed	
4	eeo report due new company appears last completed eeo report september data research internet states report due correct	
18	please let us know required need new policies filing additional cost able pass costs employees missing anything thank kate subject state new york paid sick leave trouble reading email read online version adp new york paid family leave april governor andrew cuomo signed nation first week paid family leave law pfl provided wage replacement employees help bond child care close relative serious health condition help relieve family pressures someone called active military service employees also guaranteed able return job continue health insurance june new york state department financial services dfs announced weekly contribution rate paid family leave benefits employee weekly wage capped new york state current average weekly age consequently maximum contribution would per week per employee coverage beginning january effective date effective july employers may begin taking deductions employees advance january effective date pfl january employers must either begin taking deductions employees cover premium cost purchasing insurance coverage pfl action item plan begin deducting pfl january action required time watch future communications plan begin deducting pfl prior january please complete return document hrservices adp com	
2	employer employee workers comp since hired attorneys workers comp claim employee currently signed dental vision employer pays dental vision premiums employer would like terminate employee cover offer cobra since employee workers comp would employer allowed cancel benefits offer cobra fact employee workers comp concerns hr director attended seminar held calchamber attorney speaking said employer could offer cobra point advise us regards situation always advised employers ask workers comp adjuster removing employee especially one obtained legal representation since employee still considered employee workers comp want make sure advise hr director correctly	
1	employee terminated cause one retail stores since termination harassing employees annoying text disparaging comments company web glass door etc believe would get police attention feel though something suggestions	
18	maternity leave public private schools rules maternity leave apply public private schools well also nursing mandatory room available schools thank	
6	state illinois state mandated lunch break required hourly employees	
9	considering spousal surcharge states laws regulations limit type program tell states provisions employer ny situs locations several states	
1	asking behalf client larue offer health plans available employees reside outside nebraska considered discriminatory	
15	someone enrolled dental hmo moving service area know qualifying event dental employee make changes benefits affected move	
9	looking write white paper fully insured employer options medical employee contributuions based employee income	
14	asking behalf archer credit union please reply jenipher cornelius specifically policy exempt staff requires take pto gone hour exempt long time never seen policy restrictive exempt employees going one step exempt employees coach various sports leave work early employees required take pto even leave early noon taking even one step one employees understand gets paid coach getting paid credit union paid school league coaching paid coaching part get hurt way liability credit union technically clock would responsible workers comp claim	
2	good morning client employee worker compensation due workplace injury required follow fmla guidelines employee taking advantage benefit exhausted end july worker comp estimating return work months year employer responsibilities far keeping employee employed offering employee benefits fmla exhausted would cobra qualifying event fmla exhausted	
13	looking sample whistleblower policy small person ria registered investment advisor firm	
13	client archrival agents employed approximately individuals state ny employee go maternity leave subsequently learned requirement carry ny state di private std policy affect year compliance ny laws purchased appropriate policy claim incurred prior policy effective	
11	aibrahim mnepilepsy net subject st paul sick time hello advice let staff know new st paul sick safe time ordinance notice letting know accruals change since also exceeding city requirements	
10	indiana state require employers pay employee sick time	
11	employee working reduced schedule due workers compensation claim handle holiday pay normally offer benefit part time employees	
2	good morning warehouse nevada since state nevada allowed sales recreational marijuana rights employers employee comes work smelling marijuana acts using marijuana employee smokes shift employers rights suspects employee impaired employees trained heavy equipment within warehouse	
1	new client government contractor small employees send anything need aware	
13	pto holiday pay people like use pto extend holiday problem people abusing create policy prohibit employees using pto day holiday	
11	aibrahim mnepilepsy net subject st paul sick time hello advice let staff know new st paul sick safe time ordinance notice letting know accruals change since also exceeding city requirements	
5	guidance alcohol policies trying word properly outside events happy hour premises also trying say people cannot influence work anything	
1	work secure building badged video surveillance front going put sign front door employees need sign monitoring consent colorado information sample policies difference security staff regular staff regard policies	
6	several nurse practitioners work hour shifts urgent care paid salary recently changed paid hourly required take minute lunch break clock sure rule applies providers please clarify thanks	
4	ontario california san bernardinodino county see county listed look minimum wage information mean follow los angeles county minimum wage	
10	workweek defines sunday saturday employee schedule work shift straddles workweek workday split shift pay apply employees start pm end	
11	offices san jose parts northern ca sick time requirements area thanks	
4	eeo reporting hris positions properly correct eeo job code however several job titles code may different salary grades hris titles use salary grades mirror eeo job code issue ever audited	
4	san bernardino county follow la county minimum wage	
18	trying assess existing pto policy compliant new cook county paid sick leave ordinance	
10	effective july st minimum wage went case july st falls last day pay period need apply rate increase entire pay period starting day illinois law requires employers provide meal period employee works hours considering requiring meal period someone works hours	
17	eeo reporting found need file report supposed last year go back file last year deadline anything ahead time	
4	would like handbook revised review offer resource	
8	allow employees day personal loa job protected loa days offer cobra elect sign cobra pay reinstate coverage deny opportunity continue coverage lack payment	
5	shop mechanic give us notice doctor change semi tires part job hired move light duty washing trucks nd shift less per hour doctor releases	
1	minimum wage change tipped employees regular employees city scottsdale az san diego ca also changes sick time cities	
18	employee requiring leave period two four weeks asking paid piece may apply leave grant fmla leave accommodation eligible std	
13	hello set policy max days rollover ees anniversary ca folks challenged ca ee required ca law payout difference un taken time days roll case need amend policy	
10	two employees found missing pay would like pay employees owed mean would ammend well	
11	hello state il required payout un used vacation time separated ee current policy award vacation time ee anniversary date accrued please advise thank	
7	hi please send information setting employees work week need need know steps changing employees work week email address pbutler lacare org email patricial totalterminals com please change email pbutler lacare org thank http www lacare org content years lac signature images artboard png patricia lee butler senior hr business support services human resources care health plan public entity serving los angeles county th street rd floor los angeles ca office ext pbutler lacare com http www lacare org content years lac signature images artboard png inkedin logo twitter logo youtube logo years two million members strong	
2	jenn aliso air phone ca psl must employer allow employee us psl employee yet accrued hours	
