cluster	question	
3	Via vmail: I have a question about a one month resignation I received from an employee. After the client found out he would be resigning, they wanted to sever the agreement. We no longer require the employee's services because of this so we would like to cut the one month short. 805-234-1601	
6	In California, when it comes to termination that isn't on a regular pay day, can we deposit into an employees account if they have regular direct deposit set up? Or do we need written consent from the employee for the final check?	
3	Received question from client re: EE moving out of the country and their ability to collect unemployment: if they relocated due to their spouses federal govt related job transfer, Im wondering if this is loop hole? They are considered on permanent change of station duty and still maintaining ATO address in VA.	
6	* > > In California, when it comes to termination that isn't on a regular pay > day, can we deposit into an employees account if they have regular direct > deposit set up? Or do we need written consent from the employee for the > final check? > > ------------------------------ > *Our Response:* > > California requires that a hard paper check be issued on the final date of > employment. An employee may write authorization for a direct deposit > waiving the paper check. This cannot delay the payment date from last date > of work. If it does, the company must compensate an additional day of full > pay for each day the final check is delayed. > > We'd appreciate your feedback. Please take a moment to tell us how we did: Click > here > > to begin. > > Best Regards, > > Suzanne Fahl, SPHR, SHRM-SCP > Senior Advisor > > *ThinkHR provides practical human resources information and guidance based > upon our experience in the industry and our experience with our clients. > ThinkHR services are not intended to be a substitute for professional > advice. ThinkHR services are designed to provide general information to > human resources and/or business professionals regarding human resources > situations commonly encountered. Given the changing nature of federal, > state and local legislation and the changing nature of court decisions, > ThinkHR and your sponsoring business cannot and will not guarantee that the > information is completely current or accurate. ThinkHR services do not > include or constitute legal, business, international, regulatory, > insurance, tax or financial advice. Use of our services, whether by phone, > email or via the website shall indicate your acceptance of ThinkHR's user > agreement.* > > *ThinkHR* > http://www.thinkhr.com > > 877.225.1101 > > >	
3	An employer (grocery store) subtracts any register shortages from their employee's paychecks. The employer ensures that even with the shortage deductions that employee meets the minimum wage requirements each paycheck. If an employee terminates and still "owes" the company money based on previous register shortages, can the employer pull the remaining balance from the individual's paycheck even if this causes the employee to hit under the minimum wage hourly rate?	
6	In CA can we force an employee to have their final check issued by direct deposit vs a live check?	
0	We are working on calculating an annual leave (PTO) payout. I want to understand how the daily rate would be calculated. So if an employee is accruing a certain number of days, in order to pay out that value, how would we calculate the daily rate? We are planning a termination and we are told vacation accrues every day. What is the accrual rate? Do they accrue for all hours? If he works a portion of the pay period, how many hours accrued?	
4	We have an employee who has only been with us for 3 weeks. She's been coming in late, forgetting to clock in/out and last Friday she was a no call/no show. She eventually called to say she'd been in a car accident and would need to be off for Monday too. When I went to cover her shift I discovered that the places she was to been cleaning have not been properly cleaned I'd like to terminate her. Am I okay to do so considering the reason she is out is due to a health reason (car accident).	
2	Do you have access to or have any benchmark data for executive employment agreements as it relates to severance payments. Specifically for a company with around 175 employees in Tennessee. I found a Lee Hecht Harrison and a world at work study. It's difficult to compare to those since company size is important.	
6	Quick Question - we had an individual resign recently. His last day is Friday. I presume that his final paycheck should include his accrued but unused vacation hours?	
