cluster	question	
8	We would like to hire receptionist for us for a couple of days, who is the daughter of an employee/friend. The daughter is age 14. Is that allowable?	
8	We have some managers who are posting jobs and putting on their job descriptions that candidates must be fluent in Cantonese/Mandarin. The workers in that department speak English, Cantonese, and Mandarin, the client base primarily speaks English and the primary language of the company is English. Is that legal? (Issue 4)	
8	Please advise about the minimum paperwork/forms that would need to be included in personnel file of a person who is being hired as a temporary employee to assist with office tasks. This person would be part-time and will not have benefits. I'm trying to verify what both the state of Tennessee and the Federal government would require to be in their file. Thanks.	
3	We currently do not do background checks, but we are considering implementing them. Can we set a hard and fast rule that candidates can have no felonies whatsoever to pass the background process?	
4	It is my understanding that California signed into law a state wide Ban the Box on July 1st. I need to know if I can still ask if someone has been convicted of a crime of our applications?	
5	Relocation package advice - renters v non-renters. Should we use a relo company?	
4	We have on our online application the question whether someone requires sponsorship. Often times the candidates do not understand this questions, is it okay to ask them more about it and if they say that they require sponsorship, can we stop the interview and tell them that the company does not provide sponsorship?	
8	A client has always posted for open positions. However; they want to be able to move someone into a role who is qualified rather than post in general just to go through the motions. For example...an IT position is open and a current employee in the department is qualified. Knowing no one else in the organization is qualified they would like to move on the change. What is your advice on a company policy regarding position postings that incorporate leadership decisions outside of a posting?	
6	We have hired a couple of interns who are going to be working at our company through a program sponsored by the city of Glendale.we have been advised that the city will be paid these intern's salaries and expenses. Would we need to have them complete a Form I-9 and W-4?	
3	What forms are we required to give a job candidate that is rejected due to their background check? We have locations in CA, NY, OR, MA, PA, VA, FL, CT, NH	
7	An employee has worked for about a week and on an application he turned in and has not filled out the I-9. He filled it out but does not have proper identification. We have asked for items and he cannot provide them. He does have the list with him. What if he comes back and fills out a new application with identification - can we rehire him?	
6	Good afternoon, Our camp counselors are seasonal employees and are on our Payroll and considered employees of the City. Is there a requirement that they should have a pre-employment physical and drug screen? We do physicals and drug screens for our other seasonal employees. I am assuming best practice is to conduct these, but want to see if there are any laws pertaining to this. Thanks so much, Lisa	
7	We have a client that would like to offer a recent university graduate employment. However, he will only be able to work for them for a year under his F1 Student Visa. Our client was told that in order to continue his employment in the US, they would have to sponsor him using a H1B Visa. Where would the client be able to obtain information on how to apply and manage this sponsorship in accordance with the law.	
3	When we issue a candidate a preliminary adverse action letter based upon background check results, how long do we have to give him to respond before taking final action?	
4	Can you research if a candidate has litigation history against employers?	
8	Matt (broker) calling on behalf of Trudi. There was a hiring fair and it was only open to those who received an invitation. Someone came who was not invited to the event. The company has history with this person and they had concern with them being there. Do they have to consider their application?	
4	Is it illegal on an original application? Sometimes a supervisor will write a note on the application?	
7	I have a gentleman that started today and he spells his name Geovany and also Jovany and his passport and his ID are both Jov spelling but he goes by the spelling of Geo. When he filled out his HRIS profiles, he used the Geo. He signed his I-9 Jov. In our HRIS, does it matter Geo? Both spellings are connected to his SSN because of his background check. He says his mother and father spelled it different ways.	
1	Candidate for position and was requested to come in to discuss the position and an offer. She cancelled two meetings via email. The last cancellation I asked her to call me directly to discuss. I asked why she was cancelling again and she stated she had morning sickness. I am concern about her cancelling the appointments and now concerned she is pregnant and may not be able to work in the required area. There are some drugs/chemicals she should not be exposed to during pregnancy. What are risk if I don't move forward with an offer? 415-946-6487	
7	While I was on leave, a manager hired a individual who is wheelchair bound to be a nurse. I am concerned for his safety and others. I don't understand how he can do the functions of the job. The lifting requirements alone are a concern. He hasn't started yet. i don't think I can withdraw the offer but what can I do? Do I need to change the job description going forward for other which mirrors his restrictions?	
